Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 16% Citric, 1200ppm CapB, 1.1% APG (17)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Mar,,43.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,27-Mar,,38.75,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,28-Mar,,37.5,small-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,31-Mar,,17.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,01-Apr,,7.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8.5% HS, 12% Citric, 1.7% AOS, 6.5% APG, 0.75% CapB (AOS 316)",,,,,,stable at 8C,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Mar,,40,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,27-Mar,,35,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,28-Mar,,32.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,31-Mar,,26.75,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,01-Apr,,25,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,02-Apr,,23.75,very large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9% HS, 9% Citric, 1.5% AOS, 8.5% APG, 0.75% CapB (AOS 313)",,,,,,stable at 8C,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Mar,,45,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,27-Mar,,37.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,28-Mar,,37.5,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,31-Mar,,32.5,Very large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,01-Apr,,10,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9% HS, 9% Citric, 1.7% AOS, 7% APG, 0.8% CapB (AOS 315)",,,,Unstable RT,,stable at 8C,,unstable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Mar,,41.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,27-Mar,,35,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,28-Mar,,30,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 10% Citric, 1% AOS, 7% APG, 0.7% CapB (AOS 366)",,,,,,,,unstable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1% AOS, 6.5% APG, 0.7% CapB (AOS 364)",,,,,,,,unstable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 6.5% APG, 0.8% CapB (AOS 348)",,,,,,,,unstable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.5% AOS, 6% APG, 0.7% CapB (AOS 346)",,,,,,,,unstable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 7% APG, 0.7% CapB (AOS 349)",,,,,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,38.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Apr,,26.75,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Apr,,23.75,medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 6% APG, 0.7% CapB (AOS 347)",,,,,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,41.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Apr,,37.5,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Apr,,35,medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 7% APG, 0.8% CapB (AOS 350)",,,,,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,43.75,Small compact foam,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Apr,,41.75,Small bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Apr,,38.75,small-medium bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,03-Apr,,37.5,medium-large bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,04-Apr,,36.75,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,07-Apr,,27.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 7% APG, 0.7% CapB (AOS 349)",,,,,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,38.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Apr,,26.75,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Apr,,23.75,medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.5% AOS, 7% APG, 0.7% CapB (AOS 351)",,,,,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,42.5,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Apr,,20,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Apr,,22.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.5% AOS, 7% APG, 0.8% CapB (AOS 352)",,,,Unstable RT,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,38.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,surfactant like foam after 3h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9% HS, 9% Citric, 1.7% AOS, 7% APG, 0.75% CapB (AOS 353)",,,,Unstable RT,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,41.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,surfactant like foam after 3h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 7% APG, 0.8% CapB (AOS 350)",,,,,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,43.75,Small compact foam,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Apr,,41.75,Small bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Apr,,38.75,small-medium bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,03-Apr,,37.5,medium-large bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,04-Apr,,36.75,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,07-Apr,,27.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 10% Citric, 1.7% AOS, 6.5% APG, 0.75% CapB (AOS 355)",,,,,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,40,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Apr,,35,"small bubbbles, some larger bubbles",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Apr,,32.5,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7.5% HS, 11% Citric, 1.6% AOS, 7% APG, 0.75% CapB (AOS 356)",,,,,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,38.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Apr,,32.5,"small bubbbles, some larger bubbles",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Apr,,32.5,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9% HS, 9% Citric, 1.7% AOS, 7.5% APG, 0.8% CapB (AOS 354)",,,,Unstable RT,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,38.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,surfactant like foam after 3h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 10% Citric, 1.7% AOS, 8% APG, 0.75% CapB (AOS 358)",,,,,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,41.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Apr,,36.75,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Apr,,32.5,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 11% Citric, 1.7% AOS, 8% APG, 0.75% CapB (AOS 359)",,,,,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,38.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Apr,,35,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Apr,,32.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7.5% HS, 11% Citric, 1.7% AOS, 6% APG, 0.75% CapB (AOS 361)",,,,,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,43.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Apr,,37.5,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7.5% HS, 10% Citric, 1.6% AOS, 7% APG, 0.75% CapB (AOS 362)",,,,,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,41.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Apr,,37.5,"small bubbles, slightly airy",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Apr,,36.75,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7.5% HS, 10% Citric, 1.6% AOS, 6.5% APG, 0.7% CapB (AOS 357)",,,,,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,38.75,Small compact foam,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Apr,,33.75,Small compact foam,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Apr,,30,small-medium bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,03-Apr,,27.5,medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,04-Apr,,26.75,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,07-Apr,,16.75,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 11% Citric, 1.7% AOS, 6.5% APG, 0.8% CapB (AOS 360)",,,,,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,45,Small compact foam,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Apr,,42.5,Small bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Apr,,36.75,small-medium bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,03-Apr,,35,medium bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,04-Apr,,33.75,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,07-Apr,,27.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.5% AOS, 6.5% APG, 0.7% CapB (AOS 363)",,,,,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,45,Small compact foam,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Apr,,41.75,Small bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Apr,,35,small-medium bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,03-Apr,,33.75,medium bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,04-Apr,,32.5,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,07-Apr,,27.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7.5% HS, 11% Citric, 1% AOS, 7% APG, 0.7% CapB (AOS 368)",,,,,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,41.75,Small compact foam,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Apr,,35,"small bubbles, slightly airy",*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Apr,,30,small-medium bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,03-Apr,,27.5,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 11% Citric, 1% AOS, 7% APG, 0.7% CapB (AOS 365)",,,,,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,43.75,Small compact foam,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Apr,,37.5,Small bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Apr,,35,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,03-Apr,,28.75,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7.5% HS, 11% Citric, 1.5% AOS, 6.5% APG, 0.7% CapB (AOS 367)",,,,,,,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Mar,,36.75,Small compact foam,,*,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Apr,,32.5,"small bubbles, slightly airy",,*,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Apr,,30,small-medium bubbles,,*,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,03-Apr,,27.5,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,04-Apr,,25,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,07-Apr,,21.75,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
